squad,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
vs Angers,31.0,53.8,38.0,418.0,3420.0,57.0,41.0,7.0,8.0,73.0,3.0,1.5,1.08,2.58,1.32,2.39,50.9,45.6,35.0,1.34,0.92,2.26,1.2,2.12,38.0,38.0,3419.0,40.0,1.05,137.0,101.0,74.5,18.0,8.0,12.0,16.0,42.1,7.0,5.0,2.0,0.0,38.0,1.0,9.0,0.0,38.1,0.24,-1.9,-0.05,150.0,422.0,35.5,895.0,176.0,33.7,34.6,240.0,50.0,42.5,316.0,22.0,7.0,15.0,0.39,12.9,390.0,134.0,18.0,34.4,10.26,3.53,0.13,0.37,0.12,6.1,4.4,17969.0,21635.0,83.1,342006.0,108755.0,7462.0,8297.0,89.9,7745.0,8758.0,88.4,2456.0,3869.0,63.5,6.0,285.0,1229.0,252.0,61.0,1452.0,19912.0,1723.0,469.0,49.0,3040.0,566.0,419.0,175.0,70.0,52.0,28.0,16008.0,2408.0,3219.0,5943.0,13698.0,590.0,761.0,260.0,60.0,358.0,416.0,434.0,615.0,16.18,445.0,51.0,54.0,27.0,29.0,93.0,2.45,73.0,1.0,9.0,3.0,5.0,841.0,538.0,418.0,352.0,71.0,305.0,774.0,39.4,469.0,5734.0,1882.0,32.8,1848.0,2712.0,1174.0,540.0,122.0,1.0,418.0,452.0,857.0,8.0,26131.0,2235.0,8314.0,14010.0,5627.0,714.0,24469.0,459.0,729.0,63.0,490.0,32.0,16991.0,89228.0,49610.0,1815.0,492.0,105.0,20868.0,17969.0,86.1,472.0,480.0,1.0,512.0,433.0,70.0,5.0,5.0,1.0,3210.0,585.0,490.0,54.4
vs Bordeaux,28.0,50.3,38.0,418.0,3420.0,55.0,37.0,7.0,8.0,66.0,3.0,1.45,0.97,2.42,1.26,2.24,56.7,50.8,38.9,1.49,1.02,2.52,1.34,2.36,38.0,38.0,3420.0,42.0,1.11,138.0,100.0,72.5,19.0,6.0,13.0,12.0,31.6,4.0,4.0,0.0,0.0,38.0,1.0,6.0,1.0,39.4,0.26,-1.6,-0.04,212.0,523.0,40.5,894.0,152.0,42.5,38.2,250.0,57.2,45.6,284.0,18.0,6.3,22.0,0.58,14.7,465.0,148.0,25.0,31.8,12.24,3.89,0.1,0.32,0.11,-1.7,-2.8,16106.0,19669.0,81.9,315034.0,99966.0,6508.0,7309.0,89.0,6947.0,7905.0,87.9,2382.0,3817.0,62.4,-1.9,342.0,1167.0,272.0,74.0,1301.0,17937.0,1732.0,472.0,32.0,2499.0,610.0,449.0,204.0,82.0,86.0,13.0,13920.0,2313.0,3436.0,5899.0,11800.0,632.0,727.0,232.0,55.0,334.0,413.0,413.0,769.0,20.24,535.0,74.0,55.0,42.0,52.0,98.0,2.58,57.0,8.0,11.0,11.0,9.0,770.0,487.0,359.0,313.0,98.0,280.0,733.0,38.2,453.0,5782.0,1716.0,29.7,1777.0,2702.0,1303.0,531.0,107.0,2.0,424.0,375.0,693.0,5.0,23819.0,2176.0,7287.0,12222.0,5927.0,826.0,22126.0,379.0,625.0,60.6,401.0,15.0,15746.0,83678.0,46236.0,1870.0,597.0,169.0,18809.0,16106.0,85.6,460.0,392.0,0.0,509.0,449.0,64.0,6.0,4.0,1.0,3067.0,543.0,588.0,48.0
vs Brest,26.0,50.7,38.0,418.0,3420.0,64.0,43.0,9.0,11.0,78.0,5.0,1.68,1.13,2.82,1.45,2.58,55.6,47.3,34.9,1.46,0.92,2.38,1.24,2.16,38.0,38.0,3420.0,51.0,1.34,157.0,111.0,69.4,19.0,8.0,11.0,11.0,28.9,5.0,3.0,2.0,0.0,38.0,2.0,7.0,2.0,48.8,0.29,0.8,0.02,272.0,631.0,43.1,894.0,181.0,43.1,38.9,336.0,73.2,52.8,385.0,18.0,4.7,18.0,0.47,14.7,468.0,169.0,17.0,36.1,12.32,4.45,0.12,0.33,0.1,8.4,7.7,16577.0,20142.0,82.3,328676.0,111106.0,6580.0,7360.0,89.4,7128.0,8065.0,88.4,2574.0,4027.0,63.9,8.1,343.0,1413.0,309.0,78.0,1407.0,18232.0,1910.0,517.0,37.0,2711.0,623.0,508.0,192.0,83.0,72.0,17.0,14330.0,2320.0,3492.0,5828.0,12212.0,597.0,777.0,279.0,41.0,376.0,357.0,420.0,763.0,20.08,553.0,58.0,43.0,44.0,49.0,107.0,2.82,69.0,6.0,9.0,7.0,13.0,592.0,370.0,305.0,195.0,92.0,219.0,636.0,34.4,417.0,5095.0,1445.0,28.4,1641.0,2101.0,1353.0,557.0,123.0,0.0,434.0,399.0,874.0,5.0,24575.0,2353.0,7484.0,12259.0,6401.0,940.0,22727.0,339.0,580.0,58.4,364.0,19.0,16144.0,81802.0,44769.0,1866.0,489.0,165.0,19245.0,16577.0,86.1,543.0,483.0,2.0,481.0,466.0,46.0,9.0,4.0,3.0,3182.0,587.0,725.0,44.7
vs Dijon,33.0,53.8,38.0,418.0,3420.0,69.0,44.0,7.0,10.0,54.0,1.0,1.82,1.16,2.97,1.63,2.79,75.3,67.7,48.8,1.98,1.29,3.27,1.78,3.07,38.0,38.0,3420.0,25.0,0.66,88.0,65.0,75.0,25.0,9.0,4.0,21.0,55.3,5.0,3.0,1.0,1.0,38.0,0.0,4.0,0.0,24.9,0.26,-0.1,0.0,189.0,458.0,41.3,919.0,140.0,36.0,35.3,248.0,51.2,44.5,252.0,15.0,6.0,15.0,0.39,15.0,527.0,181.0,25.0,34.3,13.87,4.76,0.12,0.34,0.13,-6.3,-5.7,17154.0,20855.0,82.3,340372.0,108905.0,6640.0,7465.0,88.9,7486.0,8497.0,88.1,2708.0,4189.0,64.6,-4.8,384.0,1185.0,346.0,112.0,1390.0,18983.0,1872.0,526.0,38.0,2546.0,649.0,530.0,235.0,85.0,79.0,19.0,14671.0,2569.0,3615.0,5950.0,12768.0,694.0,801.0,225.0,58.0,331.0,487.0,419.0,855.0,22.5,572.0,101.0,49.0,40.0,64.0,114.0,3.0,70.0,11.0,10.0,9.0,12.0,750.0,466.0,306.0,336.0,108.0,230.0,692.0,33.2,462.0,5203.0,1632.0,31.4,1391.0,2532.0,1280.0,531.0,99.0,1.0,432.0,433.0,804.0,9.0,25330.0,2127.0,7794.0,13151.0,5970.0,1010.0,23521.0,409.0,687.0,59.5,436.0,25.0,16736.0,85324.0,46076.0,1749.0,454.0,161.0,19961.0,17154.0,85.9,505.0,441.0,0.0,451.0,497.0,78.0,9.0,5.0,0.0,3346.0,625.0,562.0,52.7
vs Lens,27.0,48.6,38.0,418.0,3420.0,51.0,25.0,11.0,11.0,76.0,7.0,1.34,0.66,2.0,1.05,1.71,47.6,39.2,27.3,1.25,0.72,1.97,1.03,1.75,38.0,38.0,3420.0,55.0,1.45,135.0,90.0,66.7,11.0,12.0,15.0,8.0,21.1,12.0,10.0,0.0,2.0,38.0,1.0,9.0,2.0,49.1,0.3,-3.9,-0.1,254.0,639.0,39.7,929.0,153.0,46.0,40.1,298.0,71.1,52.3,366.0,26.0,7.1,25.0,0.66,13.1,408.0,134.0,21.0,32.8,10.74,3.53,0.1,0.3,0.1,3.4,0.8,14451.0,18204.0,79.4,289330.0,96991.0,5618.0,6473.0,86.8,6205.0,7173.0,86.5,2345.0,3836.0,61.1,-2.3,277.0,950.0,235.0,61.0,1106.0,16148.0,2056.0,560.0,36.0,2282.0,477.0,354.0,184.0,75.0,68.0,13.0,12160.0,2549.0,3495.0,4758.0,11219.0,612.0,921.0,223.0,37.0,314.0,436.0,476.0,616.0,16.21,393.0,74.0,45.0,32.0,49.0,77.0,2.03,39.0,7.0,8.0,9.0,11.0,686.0,413.0,327.0,292.0,67.0,223.0,620.0,36.0,397.0,5394.0,1604.0,29.7,1827.0,2466.0,1101.0,570.0,117.0,1.0,453.0,406.0,877.0,15.0,22636.0,2370.0,7655.0,11202.0,5075.0,712.0,20645.0,317.0,571.0,55.5,343.0,18.0,13798.0,68884.0,36964.0,1388.0,398.0,110.0,17407.0,14451.0,83.0,462.0,478.0,2.0,493.0,510.0,48.0,9.0,10.0,2.0,3108.0,658.0,690.0,48.8
vs Lille,21.0,46.1,38.0,418.0,3420.0,21.0,17.0,1.0,2.0,76.0,7.0,0.55,0.45,1.0,0.53,0.97,26.7,25.2,19.4,0.7,0.51,1.21,0.66,1.17,38.0,38.0,3420.0,64.0,1.68,174.0,117.0,66.1,3.0,11.0,24.0,4.0,10.5,5.0,5.0,0.0,0.0,38.0,2.0,5.0,2.0,49.5,0.26,-12.5,-0.33,242.0,659.0,36.7,1086.0,201.0,42.6,38.0,265.0,74.0,53.7,280.0,16.0,5.7,32.0,0.84,14.5,336.0,107.0,12.0,31.8,8.84,2.82,0.06,0.19,0.08,-5.7,-5.2,15007.0,18722.0,80.2,302764.0,97035.0,5729.0,6550.0,87.5,6557.0,7521.0,87.2,2467.0,3995.0,61.8,-2.4,243.0,873.0,210.0,52.0,1072.0,16932.0,1790.0,535.0,19.0,2364.0,609.0,380.0,146.0,60.0,58.0,10.0,12850.0,2340.0,3532.0,5397.0,11153.0,722.0,743.0,283.0,24.0,347.0,390.0,428.0,527.0,13.87,364.0,58.0,28.0,31.0,30.0,35.0,0.92,26.0,3.0,1.0,3.0,2.0,758.0,495.0,403.0,274.0,81.0,252.0,669.0,37.7,417.0,5492.0,1720.0,31.3,2052.0,2451.0,989.0,570.0,123.0,4.0,447.0,517.0,832.0,11.0,23135.0,2596.0,8985.0,11002.0,4585.0,609.0,21418.0,403.0,680.0,59.3,433.0,30.0,14829.0,71918.0,37623.0,1270.0,383.0,111.0,17855.0,15007.0,84.0,512.0,455.0,5.0,478.0,469.0,27.0,1.0,5.0,2.0,3143.0,572.0,612.0,48.3
vs Lorient,27.0,55.4,38.0,418.0,3420.0,67.0,44.0,10.0,11.0,77.0,6.0,1.76,1.16,2.92,1.5,2.66,53.1,44.9,33.2,1.4,0.87,2.27,1.18,2.06,38.0,38.0,3420.0,50.0,1.32,133.0,91.0,69.2,18.0,9.0,11.0,10.0,26.3,10.0,9.0,0.0,1.0,38.0,2.0,5.0,1.0,43.9,0.27,-5.1,-0.14,222.0,517.0,42.9,976.0,186.0,37.8,35.5,278.0,53.2,44.8,262.0,19.0,7.3,42.0,1.11,16.4,455.0,159.0,20.0,34.9,11.97,4.18,0.13,0.36,0.1,13.9,12.1,17503.0,21253.0,82.4,344922.0,108682.0,6959.0,7805.0,89.2,7625.0,8669.0,88.0,2632.0,4049.0,65.0,10.8,338.0,1210.0,284.0,67.0,1338.0,19298.0,1955.0,484.0,34.0,2309.0,644.0,406.0,163.0,75.0,60.0,10.0,14972.0,2662.0,3619.0,6188.0,12761.0,654.0,941.0,288.0,23.0,360.0,467.0,435.0,746.0,19.63,500.0,77.0,66.0,41.0,49.0,105.0,2.76,69.0,5.0,11.0,8.0,10.0,678.0,436.0,320.0,287.0,71.0,198.0,541.0,36.6,343.0,5405.0,1733.0,32.1,1517.0,2672.0,1216.0,510.0,113.0,2.0,397.0,447.0,736.0,12.0,25667.0,2188.0,7882.0,13405.0,6007.0,811.0,23764.0,504.0,828.0,60.9,541.0,26.0,16790.0,83444.0,45207.0,1806.0,522.0,134.0,20356.0,17503.0,86.0,510.0,517.0,1.0,501.0,454.0,28.0,8.0,8.0,2.0,3316.0,579.0,537.0,51.9
vs Lyon,29.0,45.1,38.0,418.0,3420.0,41.0,24.0,5.0,7.0,77.0,8.0,1.08,0.63,1.71,0.95,1.58,43.2,37.9,25.1,1.14,0.66,1.8,1.0,1.66,38.0,38.0,3420.0,82.0,2.16,222.0,154.0,68.0,6.0,10.0,22.0,3.0,7.9,12.0,11.0,1.0,0.0,38.0,1.0,6.0,5.0,76.6,0.31,0.6,0.02,247.0,667.0,37.0,1019.0,197.0,45.7,39.0,358.0,56.1,45.0,350.0,25.0,7.1,20.0,0.53,13.3,435.0,130.0,16.0,29.9,11.45,3.42,0.08,0.28,0.09,-2.2,-1.9,14150.0,17627.0,80.3,274213.0,93566.0,5907.0,6647.0,88.9,5918.0,6789.0,87.2,2040.0,3512.0,58.1,-1.1,311.0,919.0,225.0,73.0,1025.0,15793.0,1834.0,522.0,36.0,2119.0,511.0,402.0,165.0,70.0,53.0,15.0,12146.0,2172.0,3309.0,4904.0,10848.0,594.0,669.0,283.0,34.0,322.0,382.0,407.0,655.0,17.24,470.0,61.0,35.0,33.0,31.0,68.0,1.79,46.0,1.0,5.0,7.0,8.0,729.0,452.0,421.0,225.0,83.0,255.0,773.0,33.0,518.0,5821.0,1715.0,29.5,2388.0,2420.0,1013.0,630.0,152.0,7.0,478.0,508.0,845.0,14.0,22215.0,2925.0,8601.0,10145.0,4849.0,739.0,20432.0,379.0,643.0,58.9,412.0,29.0,13786.0,71301.0,40338.0,1468.0,451.0,151.0,16873.0,14150.0,83.9,487.0,466.0,1.0,481.0,451.0,45.0,5.0,10.0,5.0,2938.0,457.0,565.0,44.7
vs Marseille,31.0,46.1,38.0,418.0,3420.0,46.0,36.0,3.0,3.0,81.0,6.0,1.21,0.95,2.16,1.13,2.08,46.0,43.8,32.6,1.21,0.86,2.07,1.15,2.01,38.0,38.0,3420.0,54.0,1.42,131.0,81.0,61.8,10.0,12.0,16.0,8.0,21.1,7.0,4.0,2.0,1.0,38.0,0.0,6.0,1.0,50.8,0.35,-2.2,-0.06,208.0,554.0,37.5,871.0,156.0,46.2,39.2,255.0,59.6,47.3,311.0,26.0,8.4,24.0,0.63,14.6,442.0,131.0,20.0,29.6,11.63,3.45,0.1,0.33,0.1,0.0,-0.8,13904.0,17565.0,79.2,269791.0,90052.0,5697.0,6475.0,88.0,5839.0,6815.0,85.7,2051.0,3536.0,58.0,3.4,317.0,994.0,274.0,89.0,1103.0,15617.0,1948.0,530.0,49.0,2386.0,539.0,493.0,195.0,74.0,62.0,17.0,11684.0,2361.0,3520.0,5084.0,10253.0,707.0,879.0,244.0,91.0,339.0,401.0,431.0,690.0,18.16,497.0,66.0,39.0,32.0,44.0,74.0,1.95,50.0,6.0,4.0,6.0,6.0,668.0,411.0,306.0,289.0,73.0,215.0,583.0,36.9,368.0,5445.0,1651.0,30.3,1619.0,2600.0,1226.0,557.0,99.0,3.0,458.0,437.0,857.0,8.0,22098.0,2284.0,7183.0,10873.0,5397.0,757.0,20212.0,411.0,745.0,55.2,443.0,28.0,13644.0,71292.0,39406.0,1543.0,466.0,137.0,16832.0,13904.0,82.6,491.0,478.0,4.0,508.0,480.0,100.0,2.0,7.0,1.0,3197.0,559.0,583.0,48.9
vs Metz,27.0,54.7,38.0,418.0,3420.0,46.0,25.0,12.0,13.0,76.0,6.0,1.21,0.66,1.87,0.89,1.55,49.3,39.6,30.2,1.3,0.79,2.09,1.04,1.83,38.0,38.0,3420.0,44.0,1.16,129.0,94.0,71.3,15.0,11.0,12.0,12.0,31.6,11.0,7.0,4.0,0.0,38.0,2.0,2.0,2.0,40.5,0.25,-1.5,-0.04,208.0,467.0,44.5,1068.0,223.0,32.5,33.6,279.0,43.0,39.7,344.0,33.0,9.6,18.0,0.47,14.4,465.0,137.0,21.0,29.5,12.24,3.61,0.07,0.25,0.09,-3.3,-5.6,16566.0,20421.0,81.1,324330.0,111804.0,6565.0,7411.0,88.6,7273.0,8360.0,87.0,2472.0,3949.0,62.6,-5.2,329.0,1128.0,275.0,59.0,1416.0,18434.0,1987.0,532.0,39.0,2416.0,555.0,466.0,205.0,101.0,71.0,12.0,14483.0,2425.0,3513.0,5346.0,12861.0,602.0,890.0,316.0,42.0,310.0,444.0,469.0,730.0,19.21,490.0,70.0,61.0,30.0,56.0,75.0,1.97,46.0,5.0,6.0,4.0,12.0,782.0,489.0,349.0,332.0,101.0,255.0,723.0,35.3,468.0,5371.0,1664.0,31.0,1604.0,2499.0,1268.0,503.0,134.0,1.0,369.0,358.0,738.0,8.0,24794.0,2367.0,8290.0,12303.0,6001.0,884.0,22837.0,419.0,724.0,57.9,451.0,20.0,16156.0,87701.0,49853.0,1655.0,478.0,130.0,19614.0,16566.0,84.5,490.0,498.0,2.0,506.0,495.0,45.0,12.0,11.0,2.0,3330.0,604.0,623.0,49.2
vs Monaco,30.0,44.0,38.0,418.0,3420.0,41.0,25.0,5.0,5.0,89.0,12.0,1.08,0.66,1.74,0.95,1.61,33.1,29.4,20.6,0.87,0.54,1.41,0.77,1.32,38.0,38.0,3420.0,76.0,2.0,161.0,93.0,60.2,8.0,6.0,24.0,5.0,13.2,15.0,12.0,2.0,1.0,38.0,2.0,13.0,0.0,67.5,0.35,-8.5,-0.22,222.0,666.0,33.3,1020.0,202.0,45.1,39.2,312.0,66.0,49.9,338.0,18.0,5.3,30.0,0.79,14.2,322.0,94.0,21.0,29.2,8.47,2.47,0.11,0.38,0.09,7.9,6.6,13658.0,17372.0,78.6,270248.0,89902.0,5515.0,6362.0,86.7,5703.0,6647.0,85.8,2183.0,3699.0,59.0,4.4,227.0,832.0,174.0,66.0,941.0,15508.0,1864.0,532.0,23.0,2385.0,569.0,339.0,123.0,38.0,57.0,9.0,11498.0,2291.0,3583.0,5035.0,10070.0,773.0,779.0,285.0,51.0,366.0,375.0,425.0,504.0,13.26,353.0,45.0,35.0,17.0,40.0,62.0,1.63,37.0,3.0,8.0,4.0,7.0,661.0,447.0,331.0,263.0,67.0,186.0,545.0,34.1,359.0,5567.0,1650.0,29.6,1973.0,2529.0,1065.0,579.0,140.0,1.0,439.0,428.0,931.0,16.0,21886.0,2722.0,8306.0,10617.0,4261.0,521.0,20087.0,403.0,705.0,57.2,432.0,29.0,13306.0,66415.0,34643.0,1272.0,386.0,77.0,16472.0,13658.0,82.9,499.0,573.0,4.0,507.0,466.0,61.0,5.0,13.0,0.0,3249.0,597.0,650.0,47.9
vs Montpellier,25.0,54.7,38.0,418.0,3420.0,60.0,39.0,12.0,12.0,79.0,4.0,1.58,1.03,2.61,1.26,2.29,65.7,56.6,44.8,1.73,1.18,2.91,1.49,2.67,38.0,38.0,3420.0,60.0,1.58,171.0,112.0,66.1,12.0,12.0,14.0,6.0,15.8,5.0,2.0,1.0,2.0,38.0,1.0,11.0,0.0,53.0,0.3,-7.0,-0.18,199.0,446.0,44.6,734.0,156.0,38.3,36.5,289.0,57.1,45.6,401.0,27.0,6.7,23.0,0.61,15.4,546.0,187.0,28.0,34.2,14.37,4.92,0.09,0.26,0.11,-5.7,-8.6,16492.0,19934.0,82.7,323613.0,106523.0,6506.0,7290.0,89.2,7216.0,8118.0,88.9,2460.0,3824.0,64.3,-5.8,413.0,1260.0,330.0,91.0,1465.0,18051.0,1883.0,518.0,30.0,2102.0,634.0,471.0,214.0,88.0,81.0,14.0,14354.0,2200.0,3380.0,5884.0,11997.0,600.0,763.0,243.0,34.0,312.0,371.0,393.0,887.0,23.34,603.0,87.0,65.0,38.0,71.0,102.0,2.68,68.0,8.0,7.0,6.0,13.0,664.0,414.0,326.0,254.0,84.0,237.0,580.0,40.9,343.0,4766.0,1483.0,31.1,1632.0,2021.0,1113.0,576.0,122.0,3.0,454.0,347.0,971.0,15.0,24494.0,2221.0,7382.0,12834.0,6073.0,908.0,22652.0,437.0,741.0,59.0,471.0,28.0,15827.0,90158.0,53559.0,2104.0,641.0,160.0,19168.0,16492.0,86.0,488.0,377.0,1.0,483.0,483.0,37.0,11.0,5.0,0.0,3048.0,698.0,669.0,51.1
vs Nantes,25.0,56.3,40.0,418.0,3420.0,54.0,29.0,10.0,12.0,88.0,3.0,1.42,0.76,2.18,1.16,1.92,55.8,46.9,33.6,1.47,0.88,2.35,1.23,2.12,40.0,40.0,3420.0,47.0,1.24,122.0,82.0,68.0,16.0,13.0,9.0,9.0,22.5,10.0,8.0,2.0,0.0,38.0,0.0,6.0,0.0,43.9,0.3,-3.1,-0.08,236.0,604.0,39.1,1032.0,172.0,40.9,37.6,278.0,65.5,50.0,292.0,15.0,5.1,31.0,0.82,15.2,454.0,158.0,20.0,34.8,11.95,4.16,0.1,0.28,0.11,-1.8,-2.9,17371.0,21335.0,81.4,344401.0,111589.0,6834.0,7703.0,88.7,7532.0,8573.0,87.9,2675.0,4284.0,62.4,-4.6,318.0,1187.0,307.0,91.0,1376.0,19277.0,2058.0,531.0,32.0,2866.0,623.0,443.0,172.0,73.0,61.0,12.0,14559.0,2961.0,3815.0,6175.0,12653.0,734.0,990.0,271.0,49.0,343.0,399.0,462.0,725.0,19.08,499.0,63.0,54.0,50.0,41.0,78.0,2.05,47.0,6.0,4.0,11.0,9.0,788.0,474.0,397.0,306.0,85.0,291.0,742.0,39.2,451.0,5032.0,1583.0,31.5,1799.0,2268.0,965.0,564.0,125.0,3.0,439.0,385.0,981.0,9.0,26080.0,2446.0,8923.0,12929.0,5826.0,811.0,24091.0,418.0,752.0,55.6,455.0,29.0,16746.0,79487.0,41561.0,1496.0,392.0,113.0,20348.0,17371.0,85.4,521.0,495.0,1.0,546.0,490.0,58.0,7.0,9.0,0.0,3496.0,741.0,655.0,53.1
vs Nice,31.0,45.5,38.0,418.0,3420.0,53.0,28.0,7.0,7.0,66.0,1.0,1.39,0.74,2.13,1.21,1.95,52.1,46.8,34.3,1.37,0.9,2.27,1.23,2.14,38.0,38.0,3420.0,50.0,1.32,141.0,98.0,69.5,16.0,7.0,15.0,11.0,28.9,7.0,7.0,0.0,0.0,38.0,0.0,4.0,1.0,47.2,0.3,-1.8,-0.05,257.0,604.0,42.5,908.0,138.0,49.7,40.1,281.0,54.4,44.5,314.0,27.0,8.6,17.0,0.45,14.7,498.0,167.0,22.0,33.5,13.11,4.39,0.09,0.28,0.1,0.9,-0.8,14895.0,18238.0,81.7,300479.0,97956.0,5774.0,6480.0,89.1,6454.0,7374.0,87.5,2419.0,3775.0,64.1,-6.3,365.0,1095.0,277.0,81.0,1193.0,16446.0,1792.0,464.0,48.0,2150.0,581.0,485.0,215.0,73.0,87.0,16.0,12685.0,2104.0,3449.0,5105.0,11262.0,557.0,745.0,227.0,50.0,299.0,363.0,395.0,782.0,20.58,552.0,72.0,54.0,39.0,42.0,71.0,1.87,40.0,6.0,5.0,11.0,5.0,751.0,481.0,346.0,297.0,108.0,272.0,724.0,37.6,452.0,6152.0,1766.0,28.7,1878.0,2623.0,1651.0,521.0,108.0,4.0,413.0,467.0,672.0,13.0,22491.0,2335.0,7360.0,10790.0,5738.0,865.0,20754.0,368.0,669.0,55.0,399.0,21.0,14570.0,72987.0,40246.0,1652.0,491.0,163.0,17381.0,14895.0,85.7,488.0,409.0,0.0,468.0,442.0,64.0,4.0,7.0,1.0,2937.0,447.0,414.0,51.9
